"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64129","ZCTA5 64129","1057","291","463","162","37","48","85","57","30","30","0","16","0","16","43","52","77","70","58","55","59","40","7","13","59","44","8","12","0","16","0","16","594","186","81","83","54","45","122","71","27","44","29","30","42","41","30","38","67","55","42","32","42","49","47","31","11","18","0","16","0","16"
"8600000US64130","ZCTA5 64130","744","297","403","197","51","37","49","64","56","50","13","22","0","21","44","60","6","9","0","21","65","45","32","46","14","20","73","64","0","21","0","21","341","143","17","31","8","11","47","42","40","36","22","35","0","21","38","43","38","43","80","55","26","25","25","41","0","21","0","21","0","21"
"8600000US64131","ZCTA5 64131","1655","772","961","581","81","69","43","37","142","118","0","21","14","20","59","61","16","21","128","156","135","139","187","242","123","96","28","31","0","21","5","8","694","340","42","45","141","112","133","124","36","34","13","21","46","51","104","82","16","20","87","85","37","35","30","35","9","13","0","21","0","21"
"8600000US64132","ZCTA5 64132","770","457","517","297","29","45","47","77","29","47","11","17","17","35","148","202","56","87","129","79","35","44","0","18","16","26","0","18","0","18","0","18","253","179","32","48","0","18","0","18","0","18","0","18","122","150","15","18","0","18","35","33","49","74","0","18","0","18","0","18","0","18"
"8600000US64133","ZCTA5 64133","2605","627","1352","359","161","98","43","57","139","82","65","70","55","66","42","31","271","173","184","118","168","92","124","77","83","57","7","12","10","18","0","24","1253","415","97","61","67","56","143","169","84","74","0","24","124","88","131","79","81","82","271","131","117","86","95","54","38","43","5","12","0","24"
"8600000US64134","ZCTA5 64134","1449","510","818","326","146","91","131","118","145","98","38","47","11","18","80","65","46","42","37","41","0","21","72","67","20","33","92","102","0","21","0","21","631","215","71","55","0","21","79","74","49","53","11","16","48","46","59","49","81","71","105","78","85","62","16","25","19","31","8","12","0","21"
"8600000US64136","ZCTA5 64136","172","150","140","117","0","11","0","11","0","11","0","11","0","11","85","96","0","11","37","60","18","28","0","11","0","11","0","11","0","11","0","11","32","53","32","53","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64137","ZCTA5 64137","699","298","315","149","26","32","21","32","49","45","16","19","6","13","23","29","9","17","28","24","80","60","15","19","25","30","17","26","0","18","0","18","384","188","59","57","61","56","51","55","29","45","0","18","45","47","0","18","66","68","28","35","30","24","15","19","0","18","0","18","0","18"
"8600000US64138","ZCTA5 64138","2013","611","1053","337","194","107","32","35","85","80","12","12","33","44","159","99","127","75","127","69","149","112","34","38","38","43","51","77","12","21","0","21","960","340","152","98","144","121","91","88","46","36","9","16","97","55","90","69","18","30","102","75","111","63","48","48","38","97","9","13","5","9"
"8600000US64139","ZCTA5 64139","41","62","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","41","62","0","11","0","11","0","11","0","11","0","11","0","11","41","62","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64145","ZCTA5 64145","250","100","124","69","7","11","0","16","5","8","0","16","0","16","9","11","11","16","19","21","0","16","47","48","8","13","7","11","11","16","0","16","126","46","0","16","0","16","0","16","25","29","5","10","27","23","0","16","0","16","27","30","0","16","16","12","22","24","4","8","0","16"
"8600000US64146","ZCTA5 64146","107","104","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","107","104","20","31","0","11","0","11","0","11","0","11","0","11","0","11","21","33","6","10","60","88","0","11","0","11","0","11","0","11"
"8600000US64147","ZCTA5 64147","20","26","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","20","26","0","11","0","11","20","26","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64149","ZCTA5 64149","11","18","7","12","0","11","0","11","0","11","0","11","3","6","0","11","0","11","0","11","0","11","0","11","0","11","4","6","0","11","0","11","4","6","0","11","0","11","0","11","4","6","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64150","ZCTA5 64150","217","141","77","55","16","18","0","11","12","20","2","4","18","27","0","11","6","10","0","11","15","23","8","16","0","11","0","11","0","11","0","11","140","88","7","11","35","33","20","27","0","11","18","30","13","21","0","11","26","38","17","27","0","11","0","11","4","10","0","11","0","11"
