"GEO_ID","NAME","B01001G_001E","B01001G_001M","B01001G_002E","B01001G_002M","B01001G_003E","B01001G_003M","B01001G_004E","B01001G_004M","B01001G_005E","B01001G_005M","B01001G_006E","B01001G_006M","B01001G_007E","B01001G_007M","B01001G_008E","B01001G_008M","B01001G_009E","B01001G_009M","B01001G_010E","B01001G_010M","B01001G_011E","B01001G_011M","B01001G_012E","B01001G_012M","B01001G_013E","B01001G_013M","B01001G_014E","B01001G_014M","B01001G_015E","B01001G_015M","B01001G_016E","B01001G_016M","B01001G_017E","B01001G_017M","B01001G_018E","B01001G_018M","B01001G_019E","B01001G_019M","B01001G_020E","B01001G_020M","B01001G_021E","B01001G_021M","B01001G_022E","B01001G_022M","B01001G_023E","B01001G_023M","B01001G_024E","B01001G_024M","B01001G_025E","B01001G_025M","B01001G_026E","B01001G_026M","B01001G_027E","B01001G_027M","B01001G_028E","B01001G_028M","B01001G_029E","B01001G_029M","B01001G_030E","B01001G_030M","B01001G_031E","B01001G_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64129","ZCTA5 64129","135","72","77","55","0","16","22","26","0","16","7","13","0","16","0","16","10","18","0","16","30","32","8","13","0","16","0","16","0","16","0","16","58","37","0","16","0","16","15","18","0","16","0","16","0","16","0","16","0","16","7","11","0","16","26","24","10","17","0","16","0","16"
"8600000US64130","ZCTA5 64130","307","123","170","64","9","17","0","21","5","10","6","10","36","48","1","3","32","49","7","13","5","8","13","19","0","21","30","37","26","27","0","21","137","96","17","31","0","21","0","21","33","43","0","21","0","21","0","21","0","21","31","41","0","21","37","43","0","21","18","22","1","2"
"8600000US64131","ZCTA5 64131","699","186","306","129","21","32","54","38","19","22","21","23","0","21","7","11","31","51","0","21","53","75","40","33","31","30","0","21","24","28","5","8","393","121","69","56","36","36","13","21","0","21","18","21","45","67","50","47","43","37","40","39","19","31","27","30","19","20","13","20","1","5"
"8600000US64132","ZCTA5 64132","429","221","192","109","17","29","13","22","62","52","5","10","0","18","33","37","11","18","0","18","0","18","24","30","18","21","0","18","9","13","0","18","237","129","24","28","53","56","38","44","12","22","11","19","13","21","0","18","0","18","43","34","10","16","18","20","10","15","5","9","0","18"
"8600000US64133","ZCTA5 64133","1027","286","494","152","55","43","41","36","117","79","70","65","0","24","27","40","66","50","13","20","36","36","24","27","41","34","4","8","0","24","0","24","533","205","44","40","38","37","38","36","52","49","6","9","80","63","40","35","13","20","79","62","87","64","33","34","23","18","0","24","0","24"
"8600000US64134","ZCTA5 64134","515","185","242","113","19","32","17","34","0","21","0","21","0","21","19","23","4","11","17","26","0","21","84","69","82","60","0","21","0","21","0","21","273","125","0","21","29","47","14","24","1","3","0","21","55","61","29","35","15","22","40","57","17","23","44","51","29","31","0","21","0","21"
"8600000US64136","ZCTA5 64136","15","23","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","23","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","23","0","11","0","11"
"8600000US64137","ZCTA5 64137","231","151","153","103","12","21","9","15","10","17","0","18","0","18","32","39","11","19","20","30","31","28","28","33","0","18","0","18","0","18","0","18","78","59","6","10","18","20","0","18","0","18","0","18","25","39","0","18","0","18","0","18","0","18","0","18","19","20","9","20","1","4"
"8600000US64138","ZCTA5 64138","1275","555","552","247","145","103","67","58","97","87","90","62","11","15","21","31","0","21","15","25","67","72","14","22","25","22","0","21","0","21","0","21","723","391","131","126","149","178","99","94","15","17","107","89","24","24","32","38","52","54","46","58","50","48","0","21","18","19","0","21","0","21"
"8600000US64139","ZCTA5 64139","66","68","43","58","26","42","8","13","9","13","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","23","33","0","11","0","11","0","11","14","22","0","11","0","11","0","11","0","11","0","11","9","22","0","11","0","11","0","11","0","11"
"8600000US64145","ZCTA5 64145","275","214","117","103","7","11","0","16","5","10","0","16","0","16","50","60","0","16","11","17","0","16","31","40","13","16","0","16","0","16","0","16","158","118","28","38","0","16","37","46","0","16","32","27","11","16","0","16","0","16","37","41","9","12","0","16","0","16","4","8","0","16"
"8600000US64146","ZCTA5 64146","129","114","41","47","0","11","0","11","7","12","0","11","0","11","0","11","0","11","26","39","0","11","8","13","0","11","0","11","0","11","0","11","88","91","50","54","0","11","0","11","0","11","0","11","0","11","0","11","25","39","9","14","0","11","0","11","4","7","0","11","0","11"
"8600000US64147","ZCTA5 64147","79","93","34","52","34","52","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","45","46","0","11","25","38","20","26","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64149","ZCTA5 64149","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64150","ZCTA5 64150","120","86","52","42","0","11","0","11","18","25","2","4","0","11","19","30","0","11","0","11","0","11","6","10","7","11","0","11","0","11","0","11","68","57","0","11","12","19","19","26","14","20","0","11","12","20","0","11","0","11","0","11","7","13","4","10","0","11","0","11","0","11"
